OBJECTID,ProvNo,PovName,DistNo,DistName,regular_radio_listener_pct,comm_risk_index,comm_risk_pct,female_literacy_pct,has_no_soap_pct,male_literacy_pct,has_no_drinkwater_pct,has_no_water_handwashing_pct,prox_risk_index,socioecon_risk_index,time_to_water_greater_30_pct,shares_toilet_with_others_pct,WASH_risk_index,Shape__Area,Shape__Length
93,109,SOUTHERN,109006,LIVINGSTONE,56.5567359924316,1.1830757856369,8.75297832489014,82.3836135864258,50.4115791320801,90.8793792724609,31.7611083984375,47.0069770812988,3.1559112071991,1.2652086019516,6.66113424301147,47.0325317382813,1.07778263092041,0.0587156642485809,1.41420596644341
94,109,SOUTHERN,109007,MAZABUKA,57.0613327026367,1.5342458486557,17.0010604858398,72.6522521972656,64.8835296630859,80.4241714477539,81.5193710327148,69.639289855957,4.16577768325806,2.38866019248962,22.9817905426025,51.4061393737793,3.08236694335938,0.339624964267671,3.72564447467513
95,109,SOUTHERN,109008,MONZE,51.323543548584,1.88488352298737,19.8633079528809,72.3328094482422,78.5286331176758,78.115478515625,94.0525741577148,77.8087463378906,3.96166515350342,2.75922346115112,27.3329887390137,49.1992378234863,3.96972441673279,0.404667478326104,3.40114107465384
96,109,SOUTHERN,109009,NAMWALA,42.1232414245605,3.68295335769653,30.3087120056152,66.3560943603516,80.7718658447266,74.7673721313477,96.9055480957031,81.6790466308594,3.50707316398621,3.35536050796509,36.8860702514648,47.2010078430176,4.63996648788452,0.479855080906361,3.77894550181533
97,109,SOUTHERN,109010,PEMBA,46.5767440795898,2.17303252220154,22.7588653564453,66.4876403808594,74.1236419677734,76.6474533081055,97.884391784668,79.4407043457031,3.36459970474243,3.06474256515503,31.1826152801514,38.9985771179199,4.12329959869385,0.15810976369508,2.38988646208953
98,109,SOUTHERN,109011,SIAVONGA,34.9747200012207,2.83784055709839,24.4909744262695,57.4136657714844,73.2193603515625,78.2108459472656,79.9019393920898,72.430908203125,4.4945273399353,2.96418499946594,31.2914600372314,50.4059410095215,3.36147284507751,0.216376556272962,2.43728196784669
99,109,SOUTHERN,109012,SINAZONGWE,27.2647113800049,4.29891300201416,35.6598129272461,53.4522895812988,66.5135498046875,77.6501846313477,91.9169235229492,77.9987258911133,3.68336009979248,3.26331520080566,32.208137512207,50.9349517822266,3.98950147628784,0.410746855778513,3.62928029522786
100,109,SOUTHERN,109013,ZIMBA,44.3659896850586,3.8566153049469,31.274866104126,65.8665084838867,72.0956268310547,78.6107406616211,95.2930603027344,81.5174789428711,4.21068811416626,3.19979071617126,35.4226188659668,46.8683395385742,4.45439004898071,0.464135990044412,4.65876138277638
101,110,WESTERN,110001,KALABO,23.556245803833,4.77030897140503,44.7384452819824,58.203125,68.3083343505859,73.9499282836914,96.5161285400391,72.7300338745117,4.43089771270752,3.74411964416504,27.0650787353516,65.2930603027344,4.27579498291016,0.762361410361592,7.16794099535378
102,110,WESTERN,110002,KAOMA,25.7881107330322,3.95023703575134,35.6735420227051,62.9665222167969,73.7968521118164,81.089599609375,89.8673858642578,70.4283065795898,3.46300864219666,3.21064138412476,23.3205680847168,43.7863121032715,3.35364317893982,0.754313572083561,6.07525694905079
103,110,WESTERN,110003,LIMULUNGA,23.9638347625732,4.73150777816772,45.1473388671875,57.6370658874512,57.578987121582,76.1795272827148,95.2778472900391,68.8397674560547,3.6565899848938,3.60901212692261,22.6518306732178,59.1938858032227,3.20248079299927,0.329913997056281,3.15259734220384
104,110,WESTERN,110004,LUAMPA,16.1583786010742,4.95355033874512,44.5212478637695,56.9273834228516,77.6476898193359,78.1714324951172,99.1027145385742,77.6167526245117,3.72521781921387,3.7944962978363,24.1000747680664,53.2643394470215,4.3903660774231,0.863528650979305,5.45146034546628
105,110,WESTERN,110005,LUKULU,19.625358581543,4.76379537582397,45.4309387207031,57.2191886901855,79.1070098876953,78.5247421264648,95.0999069213867,75.2134094238281,3.88478016853333,3.80324482917786,25.5280494689941,52.2762718200684,4.20564079284668,0.788323515366955,6.2759734204066
106,110,WESTERN,110006,MITETE,18.895866394043,4.97477960586548,48.5998458862305,51.7067642211914,75.4182739257813,70.1019134521484,99.2955551147461,77.6577911376953,3.50912928581238,4.36782169342041,19.6364650726318,62.5172386169434,4.51144981384277,0.535284132724598,5.20293000469026
107,110,WESTERN,110007,MONGU,38.3786582946777,3.07017350196838,29.3133811950684,70.2041397094727,53.9149627685547,79.3783264160156,78.9052810668945,56.3061943054199,3.85587453842163,2.78892993927002,17.7124252319336,56.9046096801758,2.36371874809265,0.505508710588174,3.85719762496317
108,110,WESTERN,110008,MULOBEZI,21.2418117523193,4.94067335128784,44.9322242736816,56.9292945861816,56.919075012207,76.4868240356445,97.8775863647461,61.8505897521973,4.29900646209717,4.14478445053101,34.3679313659668,57.2490310668945,3.51882457733154,1.03011345273373,6.40168078537066
109,110,WESTERN,110009,MWANDI,27.6396217346191,4.64829683303833,38.4885940551758,60.1928825378418,56.471508026123,75.1433486938477,86.4436874389648,55.4268455505371,4.21882295608521,3.48067831993103,34.3891067504883,57.4914360046387,2.45796847343445,0.493245386686539,4.03558741929247
110,110,WESTERN,110010,NALOLO,22.9862098693848,4.66490745544434,41.322681427002,56.7886581420898,55.8301696777344,73.7378234863281,97.9334335327148,67.3438339233398,3.98543190956116,4.00597763061523,26.9514045715332,67.2394027709961,3.74013209342957,0.401763202953589,3.7779612334216
111,110,WESTERN,110011,NKEYEMA,26.3656826019287,3.57391691207886,29.7022228240967,66.434196472168,81.0608367919922,79.8416519165039,97.8796310424805,78.2573699951172,3.35607814788818,3.22346329689026,28.1945667266846,33.9577674865723,4.02643442153931,0.316987997950804,2.75131149950509
112,110,WESTERN,110012,SENANGA,23.7881526947021,4.6954288482666,42.4838027954102,61.6230392456055,50.0288238525391,76.0061111450195,95.3878707885742,55.8793563842773,4.15911769866943,3.94695281982422,30.219762802124,66.6216506958008,3.17461371421814,0.900092158701625,5.966359442541
113,110,WESTERN,110013,SESHEKE,33.3098220825195,4.00548553466797,35.5885772705078,63.8598213195801,40.2530860900879,78.7273635864258,80.8996505737305,53.5639610290527,4.39619731903076,3.16463494300842,32.6417846679688,58.8433685302734,1.87953674793243,0.99938827604808,5.8778960048238
114,110,WESTERN,110014,SHANGOMBO,12.7307653427124,4.9980206489563,59.8391609191895,45.3885192871094,61.496753692627,71.4132843017578,98.8632583618164,54.2881698608398,4.43018436431885,4.69979810714722,28.972339630127,71.4744338989258,3.79938697814941,0.657491272497538,6.10495982576814
115,110,WESTERN,110015,SIKONGO,14.0647134780884,4.99531984329224,57.2180480957031,49.4267158508301,75.9858551025391,70.0695190429688,99.0452423095703,69.9295043945313,4.08441162109375,4.65710783004761,26.6638889312744,72.5932846069336,4.67310857772827,0.680418799681803,5.79039813643467
116,110,WESTERN,110016,SIOMA,20.1061573028564,4.96995973587036,53.3901100158691,54.4153518676758,51.9935455322266,73.6935043334961,97.5841827392578,52.8579216003418,3.91035509109497,4.30556583404541,31.4053764343262,68.9000091552734,3.16958618164063,0.720243829684989,5.14006903160307
