OBJECTID,ProvNo,PovName,DistNo,DistName,regular_radio_listener_pct,comm_risk_index,comm_risk_pct,female_literacy_pct,has_no_soap_pct,male_literacy_pct,has_no_drinkwater_pct,has_no_water_handwashing_pct,prox_risk_index,socioecon_risk_index,time_to_water_greater_30_pct,shares_toilet_with_others_pct,WASH_risk_index,Shape__Area,Shape__Length
13,102,COPPERBELT,102001,CHILILABOMBWE,53.5321502685547,1.01873517036438,8.38165760040283,69.5246276855469,65.0117721557617,88.8981399536133,62.2091751098633,55.2247352600098,4.53991556167603,1.72160875797272,9.59989547729492,38.838249206543,1.54842209815979,0.0846633953373441,2.29062299620317
14,102,COPPERBELT,102002,CHINGOLA,60.8277359008789,1.03044176101685,7.95211410522461,75.7790069580078,60.4860305786133,88.8331680297852,64.8097534179688,53.4321708679199,4.652259349823,1.51055991649628,7.16964435577393,42.0663414001465,1.46968412399292,0.143989128082211,3.35174263079529
15,102,COPPERBELT,102003,KALULUSHI,52.3650779724121,1.08179891109467,10.2907886505127,73.6368942260742,60.534725189209,89.5830612182617,73.7485733032227,58.2322273254395,4.46995162963867,1.68499898910522,9.81551647186279,37.1369132995605,1.32333731651306,0.0858178785921382,1.90397508147531
16,102,COPPERBELT,102004,KITWE,59.2156372070313,1.00896227359772,4.22022151947021,84.0859909057617,47.0448455810547,93.2799453735352,42.9575843811035,45.8090744018555,4.89573097229004,1.24147546291351,5.00862979888916,42.4979019165039,1.05020129680634,0.0672008551093484,1.63759583936828
17,102,COPPERBELT,102005,LUANSHYA,49.765380859375,1.02626216411591,8.19969749450684,78.3176651000977,58.9654159545898,90.4514465332031,67.8584442138672,57.088207244873,4.48720216751099,1.62322568893433,9.07615566253662,36.5267715454102,1.31836235523224,0.0772516335745195,1.511083464431
18,102,COPPERBELT,102006,LUFWANYAMA,35.9283447265625,4.31301259994507,35.2894058227539,49.5264358520508,81.0925598144531,73.3079147338867,97.7095108032227,75.8456192016602,2.87994194030762,3.70992088317871,22.2326812744141,30.0805931091309,3.33744192123413,0.94646322906172,6.39928333580884
19,102,COPPERBELT,102007,MASAITI,49.7582855224609,1.3467276096344,17.3418884277344,60.4783897399902,73.9493255615234,79.6400299072266,93.7675857543945,67.0716171264648,3.49234366416931,2.97724270820618,22.5234851837158,28.085412979126,2.50512051582336,0.307049314727777,4.7117829064939
20,102,COPPERBELT,102008,MPONGWE,35.3377799987793,3.20693731307983,27.5741500854492,58.0609397888184,71.8730850219727,77.3987731933594,95.8254699707031,68.3765106201172,2.8140664100647,3.35648918151855,25.8179016113281,29.3486938476563,2.78861093521118,0.695447195176456,7.49855774576522
21,102,COPPERBELT,102009,MUFULIRA,55.4972114562988,1.02572977542877,7.13532829284668,75.6322784423828,66.1028060913086,91.3242034912109,60.7223701477051,53.1468772888184,4.45471525192261,1.53508079051971,8.40346336364746,37.2897300720215,1.34080266952515,0.10580720448192,2.03646598571262
22,102,COPPERBELT,102010,NDOLA,52.1843490600586,1.00741219520569,5.93499994277954,79.4825210571289,49.8570747375488,91.9736557006836,54.8446311950684,51.3381423950195,4.7628870010376,1.2543717622757,7.04744815826416,38.5890769958496,1.1269633769989,0.0794604167849116,1.96305803327053
