district,province,city_muni_council_,new_district_,audited_,district_2,ï__objectid,provno,distno,shape__area,shape__length,population_2019_projection_scale,pop_density_km2_scale,poverty_incidence_3_scale,local_taxes_scale,fees_and_charges_scale,other_receipts_scale,lgef_scale,est_revenue_scale,%_of_revenue_raised_via_osr_scale,regular_radio_listener_pct_scale,comm_risk_index_scale,comm_risk_pct_scale,female_literacy_pct_scale,has_no_soap_pct_scale,male_literacy_pct_scale,has_no_drinkwater_pct_scale,has_no_water_handwashing_pct_scale,prox_risk_index_scale,socioecon_risk_index_scale,time_to_water_greater_30_pct_scale,shares_toilet_with_others_pct_scale,wash_risk_index_scale,educ_scale,land_scale,stunt_scale,supplies_contracts_loans_scale,personal_emoluments_scale,statutory_obligations_scale,third_party_payments_scale,total_debts_scale,nr_wards_scale,nr_wdc_scale,pct_wards_wdc_scale,nr_remaining_scale,osr_rate_scale,lgef_per_inh_scale,debt_per_inh_scale,population_2019_projection_standard,pop_density_km2_standard,poverty_incidence_3_standard,local_taxes_standard,fees_and_charges_standard,other_receipts_standard,lgef_standard,est_revenue_standard,%_of_revenue_raised_via_osr_standard,regular_radio_listener_pct_standard,comm_risk_index_standard,comm_risk_pct_standard,female_literacy_pct_standard,has_no_soap_pct_standard,male_literacy_pct_standard,has_no_drinkwater_pct_standard,has_no_water_handwashing_pct_standard,prox_risk_index_standard,socioecon_risk_index_standard,time_to_water_greater_30_pct_standard,shares_toilet_with_others_pct_standard,wash_risk_index_standard,educ_standard,land_standard,stunt_standard,supplies_contracts_loans_standard,personal_emoluments_standard,statutory_obligations_standard,third_party_payments_standard,total_debts_standard,nr_wards_standard,nr_wdc_standard,pct_wards_wdc_standard,nr_remaining_standard,osr_rate_standard,lgef_per_inh_standard,debt_per_inh_standard,zmb_score1,zmb_score2,zmb_score_tot
Kalulushi,Copperbelt,X,"","",Kalulushi,15,102,102003,0.0858178785921382,1.90397508147531,,,,2.8240854588334994,1.3186788895673853,1.0032256783942441,1.510505439576595,1.6792854998464777,4.845567114461133,2.0421101877162986,4.918192836495638,4.493246719851565,4.1250069976779296,3.313916709697117,4.446747705476649,2.530925063963027,3.6028421751246533,1.4484750925717833,4.352254752065724,4.332836196070118,3.4706106336327807,4.714558428816906,4.565808967906163,1.5736986921323828,3.005893297374686,1.1963410854109624,1.0247803270392857,1.142043507237345,1.7640189152616834,4.859771969924532,3.4827586206896552,4.142857142857142,5,1,4.845567114461133,,,,,,51154656,10207079,78598,11196687,74237020,82.76239132443621,52.3650779724121,1.08179891109467,10.2907886505127,73.6368942260742,60.534725189209,89.5830612182617,73.7485733032227,58.2322273254395,4.46995162963867,1.68499898910522,9.81551647186279,37.1369132995605,1.32333731651306,2.2145467939171217,27.105399750389186,33.89981394463033,1576471.34,209737.91,32330074.21,650316.31,34766599.77,22,22,100,0,0.827623913244362,,,4.9227835572305665,4.102816922943921,4.512800240087244
Kitwe,Copperbelt,X,"","",Kitwe,16,102,102004,0.0672008551093484,1.63759583936828,,,,4.597362725873245,2.0171651511673665,1.8754861672990626,3.1851450396942074,2.8871119633026905,4.7585225915834055,1.530856225578904,4.991066133866898,4.921232297322468,5,4.435377380816751,5,4.34159067989861,4.848600429577747,1,4.845423215407563,4.924644033638822,3.097055331851225,5,3.8220530778777677,1.1352389051065257,3.401782864622813,1.2862129671547327,3.8021384854371756,1.659305138783395,3.2936181930440105,4.271909025532749,4.310344827586206,5,5,1,4.7585225915834055,,,,,,100882016.61,32464839.48,21332400,28283034.84,190962291,80.999895466273,59.2156372070313,1.00896227359772,4.22022151947021,84.0859909057617,47.0448455810547,93.2799453735352,42.9575843811035,45.8090744018555,4.89573097229004,1.24147546291351,5.00862979888916,42.4979019165039,1.05020129680634,1.823859348685293,18.51678721971501,27.169691301412175,2298075,23716986,149728069.1,1952278,177695408.1,28,28,100,0,0.80999895466273,,,4.879261295791703,4.3059589856251455,4.592610140708424
Luanshya,Copperbelt,X,"","",Luanshya,17,102,102005,0.0772516335745195,1.511083464431,,,,1.689574882835772,1.361357669059708,1.677474087664126,1.7313823228462217,1.5740287356795806,4.413325942764853,2.236124340996041,4.973757536030059,4.640672295852696,4.516968320823234,3.444378851582094,4.576704757914005,2.877294394369838,3.7175612377806626,1.4303050317110895,4.4209425255924515,4.4238638302788695,3.513125494862069,4.719757526197387,4.112753258242256,1.0595223641377542,3.403180911685268,1.6005514448919707,4.18362316375636,1.2932831721475455,2.639002938144739,4.592215372496776,4.310344827586206,5,5,1,4.413325942764853,,,,,,19339994.2,11567068.6,16507568.9,13450293.84,64064926,74.010280914083907,49.765380859375,1.02626216411591,8.19969749450684,78.3176651000977,58.9654159545898,90.4514465332031,67.8584442138672,57.088207244873,4.48720216751099,1.62322568893433,9.07615566253662,36.5267715454102,1.31836235523224,1.976561212721217,17.033640870183653,27.145924501350443,4821976.71,26945829.55,66655514.81,1395083.71,99818404.78,28,28,100,0,0.740102809140839,,,4.706662971382427,4.188165004237036,4.447413987809732
Lufwanyama,Copperbelt,"","","",Lufwanyama,18,102,102006,0.94646322906172,6.39928333580884,,,,1.2888248577840038,1.1861323989204207,1.018468094320591,1.313463883171616,1.173127989479967,3.593132654935517,3.268775735555061,1.6853528247977074,2.730800580062589,2.106030333306692,1.6048723234405742,2.011112246534878,1.121900957378875,1.8366215986183114,3.123238687659226,2.1006771921059837,2.8040763249774736,3.9622971501592987,2.609712705737262,2.9906413401804794,3.197172994410749,3.2794605644609023,1.0866519464760311,1.0250952496887646,1.01563504760016,1.0225116997668708,4.983979552642148,2.655172413793103,3.2857142857142856,5,1,3.593132654935517,,,,,,8101909,5983391,450000,9186272,25321572,57.402834231618804,35.9283447265625,4.31301259994507,35.2894058227539,49.5264358520508,81.0925598144531,73.3079147338867,97.7095108032227,75.8456192016602,2.87994194030762,3.70992088317871,22.2326812744141,30.0805931091309,3.33744192123413,1.3871271733954837,58.906244772815874,29.24917040416466,695750,212403.38,3640338.12,19161.47,4567652.97,16,16,100,0,0.574028342316188,,,4.296566327467758,2.746461235921334,3.521513781694546
Masaiti,Copperbelt,"","","",Masaiti,19,102,102007,0.307049314727777,4.7117829064939,,,,1.2699338024424498,1.0410756267493657,1.113720420505424,1.3389597177300794,1.1630803970370143,3.1319765227689023,2.236653862599431,4.653130794996608,3.996131879538294,3.023131907486744,2.1987142636171897,2.9587365435632647,1.3537060534919476,2.716453439777835,2.478193491032875,2.9153662634566704,2.7682735186230025,4.101321902649351,3.479532548410784,3.2432007953479016,2.805918416505598,2.9240999725327472,1.0584260628619713,1.4878086456767186,1.0201383499960301,1.20139411803721,4.96397380652022,2.793103448275862,3.4285714285714284,5,1,3.1319765227689023,,,,,,7572154.1,1361054,2770951.26,9446406,24350565,48.0652476030844,49.7582855224609,1.3467276096344,17.3418884277344,60.4783897399902,73.9493255615234,79.6400299072266,93.7675857543945,67.0716171264648,3.49234366416931,2.97724270820618,22.5234851837158,28.085412979126,2.50512051582336,1.5197941003151962,51.24229457735212,35.2903004669433,469117.37,4128757.69,4662410.2,171422.3,9431707.56,17,17,100,0,0.480652476030844,,,4.065988261384451,3.1674913059445444,3.6167397836644977
Mpongwe,Copperbelt,"","","",Mpongwe,20,102,102008,0.695447195176456,7.49855774576522,,,,1.0113541413599965,1.0735402731656494,1.1368478401918074,1.2233821425071056,1.0758247531634244,2.635523109083258,3.31284929898795,2.791984817496525,3.2747395746881205,2.8206979693597205,2.371319370299005,2.6233242429657198,1.2326920710741964,2.5856024512325986,3.192625648379158,2.4936695790051897,2.362675967709668,4.0132961111773735,3.1832700825071605,3.329757332890895,3.2745761579656,3.158580716813913,1.0240551781561094,1.1714480411875328,1.0233189280102897,1.1935528700664633,4.973180383587689,2.2413793103448274,2.857142857142857,5,1,2.635523109083258,,,,,,320900,2395563,3334482,8267168,15918113,38.012954173651096,35.3377799987793,3.20693731307983,27.5741500854492,58.0609397888184,71.8730850219727,77.3987731933594,95.8254699707031,68.3765106201172,2.8140664100647,3.35648918151855,25.8179016113281,29.3486938476563,2.78861093521118,1.5652613738846115,60.42242892491421,31.304127814163486,193145,1451117,5384276,164748,7193286,13,13,100,0,0.380129541736511,,,3.817761554541629,3.1230765253929222,3.4704190399672754
Mufulira,Copperbelt,X,"","",Mufulira,21,102,102009,0.10580720448192,2.03646598571262,,,,1.5639857339050827,1.3837811583054758,1.4568026494708965,1.5945132804077233,1.4914472063926068,4.2127545859022835,1.8083605625049657,4.974290192677158,4.715712182173257,4.29209773094753,2.851022753138568,4.7073160427956955,3.2969315803352206,4.112786536582005,1.4645236304461626,4.518953750556809,4.506683460080635,3.459962314892925,4.696306212172644,3.9268000540306263,1.826171465480248,3.2858778503912984,1.246129940055647,2.223060266331381,1.242892710337889,3.009846139343181,4.717910908370039,4.310344827586206,5,5,1,4.2127545859022835,,,,,,15818144,12281609,11130612,12053819,56084184,69.9490697769624,55.4972114562988,1.02572977542877,7.13532829284668,75.6322784423828,66.1028060913086,91.3242034912109,60.7223701477051,53.1468772888184,4.45471525192261,1.53508079051971,8.40346336364746,37.2897300720215,1.34080266952515,1.878881875642837,32.05087226347432,29.140076543347927,1976238.42,10351844.98,55218866.86,1710737.39,69257687.65,28,28,100,0,0.699490697769624,,,4.606377292951142,4.050270461885525,4.328323877418333
Ndola,Copperbelt,X,"","",Ndola,22,102,102010,0.0794604167849116,1.96305803327053,,,,3.0427059560410417,1.6500550955639621,2.0154052105361746,3.0028088797412527,2.3144141980749886,4.501587328427409,2.0555979000838636,4.992616992438807,4.800337425740897,4.614511758534633,4.2015869772850785,4.804508951738077,3.6425723081437127,4.294161300132551,1.139925088742089,4.8310833940369635,4.673631524598189,3.3694234298231995,4.91977957062941,3.8566819698424495,1.8698974379236537,3.2356031744250733,1.753149450774805,5,1.45410002655426,1.788918457899804,4.411612561174852,4.310344827586206,5,5,1,4.501587328427409,,,,,,57285350,20766617,24741716,26422659,135616342,75.7974160665681,52.1843490600586,1.00741219520569,5.93499994277954,79.4825210571289,49.8570747375488,91.9736557006836,54.8446311950684,51.3381423950195,4.7628870010376,1.2543717622757,7.04744815826416,38.5890769958496,1.1269633769989,1.8420495553300753,32.90738281690667,29.994746034773755,6047224,33855551.57,103154599.8,671510.26,143728885.7,28,28,100,0,0.757974160665681,,,4.750793664213704,4.1566441183578915,4.4537188912857975
Chembe,Luapula,"",X,"",Chembe,37,104,104001,0.179149995381351,2.47563392143373,,,,1.0008891818932522,1.077487682495839,1.096531785088909,1.206314613349015,1.0621227400698399,2.416682786735028,2.5184678221233723,4.021237447503626,3.6503679700806484,2.0991189833645745,1.8821021154015227,3.020500425022729,1.0612380613652483,1.9363647317816763,4.380337615471442,1.8493821020519619,3.6200523747986004,4.377687373096844,3.5599960333726233,2.96755470980019,4.226546926880648,2.4789915966386555,1.0516893438681858,1.1168400270136258,1.0014800736954264,1.048333528621445,4.995063400803584,1.1379310344827587,1.7142857142857144,5,1,2.416682786735028,,,,,,27435,2521350,2352127,8093028,14593940,33.5818291701898,45.9821128845215,1.97830307483673,22.2462196350098,49.4439010620117,77.7578048706055,80.0527420043945,98.7411041259766,74.850944519043,1.68646037578583,3.93591928482056,15.6050157546997,24.1192207336426,2.42812585830688,1.375,79.06976744186046,42.857142857142854,415026.58,988920.89,427717.17,41140.45,1872805.09,5,5,100,0,0.335818291701898,,,3.708341393367514,2.776415330794011,3.2423783620807622
Chienge,Luapula,"","","",Chienge,38,104,104002,0.311469409502934,2.8304374342368,,,,1.0002317899461055,1.0421507950184365,1.0804451310108534,1.249685484661374,1.050803189540215,1.9889978384218385,1.6231831568430382,4.0980747789820855,3.7069960312949264,1.7758156417527515,2.2761476682966304,2.5725361668943507,1.231583015887594,2.211098636482741,4.670302947354939,2.4061206098778496,1.9928845107203443,3.9907671819932795,3.0057455675757643,2.4875389351981267,4.15937622992441,2.6046273620965175,1.0343927223663651,1.348341725155949,1.0088700371052954,1,4.980846420082238,2.2413793103448274,2.857142857142857,5,1,1.9889978384218385,,,,,,9000,1395315,1960154,8535541,13500010,24.921974131871,57.9785003662109,1.90150439739227,21.4430046081543,45.5830383300781,73.0178909301758,77.0594024658203,95.8443298339844,72.111198425293,1.41116917133331,3.43522500991821,28.8214874267578,29.6720123291016,2.95848226547241,1.1228525694188483,77.75401829759872,40.721334844359205,276147.71,2948325.31,2104947.48,0,5329420.5,13,13,100,0,0.24921974131871,,,3.494498919210919,2.46843187665579,2.9814653979333547
Chipili,Luapula,"",X,"",Chipili,39,104,104003,0.348316351023158,4.04201727925652,,,,1.000275402115965,1.012147854322914,1.0648819037660529,1.2402837400764481,1.0360062554555782,1.5889591619094547,3.119342461566933,1.6830294590374386,2.8333396002612163,2.187625214512275,2.158034849471915,2.6338262150826233,1.0648640257738666,1.9442769188985531,4.593458511895269,1.8108259540666323,3.254934080488302,4.556807325171436,3.7600623037066807,2.6899302251823656,4.3277747077525,1,1,1.1651703032643872,1.001910286925288,1.021634034049635,4.994779807440356,1.8275862068965516,2.142857142857143,4.2,1.4444444444444444,1.5889591619094547,,,,,,10223,439250,1580935,8439615,12070023,16.8219066359691,37.9306793212891,4.31533479690552,33.8349876403809,50.5008354187012,74.4386520385742,77.4689483642578,98.679443359375,74.7720413208008,1.48412477970123,3.97059416770935,18.5706443786621,21.5486240386963,2.23668456077576,1.2291666666666665,81.05263157894737,68,0,1397982.93,525358.61,18414.42,1941755.96,10,8,80,2,0.168219066359691,,,2.8944795809547275,2.4094044358503304,2.651942008402529
