"","district","A15-19","A20-24","A25-29","A30-34","A35-39","A40-44","A45-49","bemba","english","kaonde","lozi","lunda","luvale","nyanja","other_lang","tonga","no_electricity","yes_electricity","no_cell","yes_cell","catholic","muslim","other_rel","protestant","conn_sewage","unconn_sewage","no_internet","yes_internet"
"44","Kitwe",0.250303582270795,0.203703703703704,0.186627200971463,0.13357619914997,0.0964632665452338,0.0692167577413479,0.0601092896174863,0.903992106860959,0.0241347905282332,0.00159380692167577,0.00182149362477231,0.00136612021857923,0.0011384335154827,0.00614754098360656,0.0569975713418336,0.00280813600485732,0.402018822100789,0.597981177899211,0.137446873102611,0.862553126897389,0.212811171827565,0.00356709168184578,0.0814359441408622,0.702185792349727,0.509942319368549,0.490057680631451,0.968047965998786,0.0319520340012143
"45","Lavushimanda",0.257971014492754,0.209275362318841,0.169275362318841,0.12695652173913,0.107246376811594,0.0672463768115942,0.0620289855072464,0.674782608695652,0,0.000579710144927536,0,0,0,0.00173913043478261,0.322898550724638,0,0.858550724637681,0.141449275362319,0.64231884057971,0.35768115942029,0.302608695652174,0,0.0904347826086957,0.60695652173913,0.0365217391304348,0.963478260869565,0.99768115942029,0.00231884057971014
"46","Limulunga",0.23561811505508,0.2203182374541,0.165850673194614,0.136474908200734,0.0997552019583843,0.0783353733170135,0.0636474908200734,0.00305997552019584,0.0018359853121175,0,0.853733170134639,0,0.00979192166462668,0.00550795593635251,0.125458996328029,0.000611995104039168,0.80171358629131,0.19828641370869,0.490820073439412,0.509179926560588,0.0850673194614443,0.000611995104039168,0.0973072215422277,0.817013463892289,0.0410036719706242,0.958996328029376,0.992044063647491,0.00795593635250918
"47","Livingstone",0.232984293193717,0.217277486910995,0.206282722513089,0.13979057591623,0.0984293193717277,0.0649214659685864,0.0403141361256545,0.107068062827225,0.056020942408377,0.000785340314136126,0.192931937172775,0.00235602094240838,0.0172774869109948,0.282984293193717,0.158376963350785,0.182198952879581,0.369371727748691,0.630628272251309,0.129319371727749,0.870680628272251,0.158115183246073,0.00261780104712042,0.0856020942408377,0.753664921465969,0.453403141361257,0.546596858638743,0.968324607329843,0.0316753926701571
"48","Luampa",0.236973947895792,0.193887775551102,0.178857715430862,0.137274549098196,0.104208416833667,0.0816633266533066,0.0671342685370741,0.0125250501002004,0,0.00951903807615231,0.416332665330661,0.00100200400801603,0.0521042084168337,0.00751503006012024,0.5,0.00100200400801603,0.89128256513026,0.108717434869739,0.669839679358717,0.330160320641283,0.0901803607214429,0,0.102705410821643,0.807114228456914,0.0155310621242485,0.984468937875752,0.998496993987976,0.00150300601202405
"49","Luangwa",0.284905660377358,0.166037735849057,0.171698113207547,0.133962264150943,0.105660377358491,0.0773584905660377,0.060377358490566,0.030188679245283,0,0,0.00566037735849057,0,0,0.307547169811321,0.649056603773585,0.00754716981132075,0.784905660377359,0.215094339622642,0.509433962264151,0.490566037735849,0.420754716981132,0.00188679245283019,0.0849056603773585,0.492452830188679,0.00377358490566038,0.99622641509434,0.994339622641509,0.00566037735849057
"50","Luano",0.256176154672395,0.214822771213749,0.16702470461869,0.130504833512352,0.105800214822771,0.0741138560687433,0.0515574650912997,0.28625134264232,0.00268528464017186,0.000537056928034372,0.00537056928034372,0.00214822771213749,0,0.0166487647690655,0.631041890440387,0.0553168635875403,0.828141783029001,0.171858216970999,0.466702470461869,0.533297529538131,0.147690655209452,0.00483351235230934,0.0998925886143931,0.747583243823845,0.018796992481203,0.981203007518797,0.983351235230934,0.0166487647690655
"51","Luanshya",0.26837416481069,0.204899777282851,0.162583518930958,0.114922048997773,0.103118040089087,0.0717149220489978,0.0743875278396437,0.887527839643653,0.0207126948775056,0.00289532293986637,0.00400890868596882,0.00244988864142539,0.00155902004454343,0.00801781737193764,0.0679287305122494,0.00489977728285078,0.393095768374165,0.606904231625835,0.150556792873051,0.849443207126949,0.217594654788419,0.00200445434298441,0.0770601336302895,0.703340757238307,0.567706013363029,0.432293986636971,0.978173719376392,0.021826280623608
"52","Lufwanyama",0.254111405835544,0.190450928381963,0.171352785145889,0.124137931034483,0.119893899204244,0.0753315649867374,0.0647214854111406,0.327851458885942,0.00212201591511936,0.0594164456233422,0.000530503978779841,0.00742705570291777,0.00318302387267905,0.00477453580901857,0.575596816976127,0.0190981432360743,0.888063660477454,0.111936339522546,0.563925729442971,0.436074270557029,0.13209549071618,0.000530503978779841,0.0721485411140584,0.795225464190981,0.0583554376657825,0.941644562334218,0.994164456233422,0.00583554376657825
"53","Lukulu",0.226259289843105,0.199834847233691,0.174236168455822,0.152766308835673,0.108175061932287,0.0710156895127993,0.0677126341866226,0.00165152766308836,0,0.000825763831544178,0.403798513625103,0.0264244426094137,0.270024772914946,0,0.293971924029727,0.00330305532617671,0.919075144508671,0.0809248554913295,0.722543352601156,0.277456647398844,0.187448389760528,0.00165152766308836,0.109000825763832,0.701899256812552,0.00908340214698596,0.990916597853014,0.992568125516102,0.0074318744838976
"54","Lumezi",0.242519069039703,0.207119108155682,0.169763348327792,0.123019753569333,0.106199882652063,0.0831214551144142,0.0682573831410131,0.00488949735967143,0.000782319577547428,0,0.000195579894386857,0,0,0.031488362996284,0.962448660277723,0.000195579894386857,0.908077449638177,0.0919225503618228,0.671230197535693,0.328769802464307,0.19910033248582,0.0138861725014668,0.103070604341874,0.683942890670839,0.0105613142968903,0.98943868570311,0.99687072168981,0.00312927831018971
"55","Lundazi",0.246732026143791,0.21078431372549,0.166666666666667,0.122549019607843,0.106209150326797,0.0816993464052288,0.065359477124183,0,0,0,0,0,0,0.0245098039215686,0.975490196078431,0,0.92156862745098,0.0784313725490196,0.684640522875817,0.315359477124183,0.197712418300654,0.00980392156862745,0.0996732026143791,0.69281045751634,0,1,1,0
"56","Lunga",0.248071979434447,0.18573264781491,0.176092544987147,0.125321336760925,0.115681233933162,0.0816195372750643,0.0674807197943445,0.390102827763496,0,0,0,0,0,0,0.609897172236504,0,0.940874035989717,0.0591259640102828,0.753856041131105,0.246143958868895,0.447943444730077,0,0.0526992287917738,0.499357326478149,0.0006426735218509,0.999357326478149,0.999357326478149,0.0006426735218509
"57","Lunte District",0.25017667844523,0.195053003533569,0.183745583038869,0.131448763250883,0.102473498233216,0.0770318021201413,0.0600706713780919,0.920141342756184,0,0,0,0,0,0.00141342756183746,0.0784452296819788,0,0.874911660777385,0.125088339222615,0.630388692579505,0.369611307420495,0.342756183745583,0.000706713780918728,0.0643109540636042,0.592226148409894,0.00565371024734982,0.99434628975265,0.996466431095406,0.00353356890459364
"58","Lupososhi",0.245461720599842,0.205998421468035,0.169692186266772,0.120757695343331,0.114443567482242,0.0765588003157064,0.0670876085240726,0.876085240726125,0,0,0,0,0,0,0.123914759273875,0,0.936858721389108,0.0631412786108919,0.738752959747435,0.261247040252565,0.453827940015785,0,0.0718232044198895,0.474348855564325,0.0110497237569061,0.988950276243094,0.997632202052092,0.00236779794790845
"59","Lusaka",0.227264499780208,0.217593670002327,0.195924805419802,0.147286220360458,0.104439790034391,0.0608434825330334,0.0466475318697799,0.206319654539343,0.0729190908385695,0.00250820986217775,0.0125410493108887,0.00186176402141029,0.00204276885682517,0.584490471388307,0.089002663356864,0.0283143278256148,0.327101595428335,0.672898404571665,0.0979753316267163,0.902024668373284,0.190080935019264,0.00894681043622165,0.0683422542859359,0.732630000258578,0.213585705789569,0.786414294210431,0.955446952654307,0.0445530473456934
"60","Luwingu",0.247263361236317,0.204121056020605,0.171925305859627,0.1216999356085,0.116548615582743,0.0740502253702511,0.0643915003219575,0.886027044430135,0,0,0,0,0,0.000643915003219575,0.113329040566645,0,0.913715389568577,0.086284610431423,0.698647778493239,0.301352221506761,0.443013522215068,0,0.0753380553766903,0.481648422408242,0.0167417900837089,0.983258209916291,0.995492594977463,0.00450740502253703
"61","Mafinga",0.259020618556701,0.214561855670103,0.172680412371134,0.100515463917526,0.0966494845360825,0.0889175257731959,0.0676546391752577,0.0270618556701031,0,0,0,0,0,0.00193298969072165,0.971005154639175,0,0.965850515463918,0.0341494845360825,0.746134020618557,0.253865979381443,0.0135309278350515,0,0.130798969072165,0.855670103092783,0,1,0.999355670103093,0.000644329896907216
