district,land,se,ci_l,ci_u,cv,cv%,var
Nkeyema,0.83828658996283,0.07411384859735967,0.6930261159563507,0.9835470639693094,0.08841111081193118,8.841111081193118,0.005492862553912352
Nsama,0.8004795952984969,0.0793582299447654,0.6449403227299086,0.9560188678670851,0.09913835457001612,9.913835457001612,0.0062977286599662586
Nyimba,0.8612322829559973,0.047527992524491476,0.7680791293505052,0.9543854365614894,0.05518603222972752,5.518603222972752,0.0022589100734081175
Pemba,0.1667873907663831,0.07162294127437727,0.026409005401776375,0.30716577613098983,0.4294265948119458,42.94265948119458,0.005129845716792894
Petauke,0.8861504582631211,0.02188577765113271,0.8432551222932494,0.9290457942329928,0.024697586563380475,2.4697586563380476,4.7898726339481995e-4
Rufunsa,0.8725856276101117,0.05154839649741055,0.7715526270143964,0.973618628205827,0.059075459033853556,5.907545903385356,0.002657237181454248
Samfya,0.7578831202877782,0.051486290300927905,0.6569718456003856,0.8587943949751707,0.06793434095929975,6.793434095929975,0.002650838088951423
Senanga,0.5657121865503866,0.06321505443712316,0.4418129565728863,0.6896114165278869,0.11174419773877853,11.174419773877853,0.003996143107488445
Senga Hill,0.8846739900666303,0.037182246835239734,0.811798125405282,0.9575498547279786,0.04202932069070925,4.202932069070925,0.0013825194797166952
Serenje,0.7880709714076817,0.04822999144201938,0.6935419252066487,0.8826000176087146,0.0612000608979026,6.12000608979026,0.0023261320744972624
Sesheke,0.3187130056364802,0.10784288454101945,0.10734483594717076,0.5300811753257897,0.33836988963049597,33.8369889630496,0.011630087746127652
Shang'ombo,0.6082637438408787,0.08062977139370726,0.45023229582751456,0.7662951918542428,0.1325572536751425,13.255725367514252,0.0065011600350014945
Shiwamg'andu,0.7451595835636463,0.05638484914970017,0.6346473099565101,0.8556718571707825,0.07566815269293811,7.566815269293811,0.003179251213634444
Siavonga,0.3292725712168154,0.09356723732029958,0.14588415593611626,0.5126609864975146,0.2841634727560971,28.41634727560971,0.008754827899753261
Sikongo,0.6450718449156149,0.11178303354135054,0.425981125091935,0.8641625647392948,0.17328772666550568,17.328772666550567,0.0124954465877067
Sinazongwe,0.5309163484184892,0.08578216042461108,0.3627864034702144,0.699046293366764,0.16157377839304016,16.157377839304015,0.007358579047113711
Sinda,0.9299603568524973,0.02652204559526722,0.8779781026894444,0.9819426110155502,0.0285195443008265,2.85195443008265,7.034189025574332e-4
Sioma,0.4033964026053275,0.10324533036932014,0.20103927350952058,0.6057535317011344,0.25594013655677705,25.594013655677706,0.01065959824307006
Solwezi,0.6003210313832366,0.043633409003777,0.5148011212131279,0.6858409415533452,0.0726834588873866,7.2683458887386605,0.0019038743812908876
Vubwi,0.7554969137767973,0.0799270807872048,0.5988427140444526,0.912151113509142,0.10579405333059815,10.579405333059814,0.006388338243164362
Zambezi,0.6131936539716993,0.05698736040949492,0.5015004799950856,0.724886827948313,0.09293533949737362,9.293533949737363,0.003247559246441669
Zimba,0.5500518614247669,0.0859736876681118,0.3815465299771724,0.7185571928723614,0.15630105758649596,15.630105758649595,0.0073914749712540384
